process,feature,unique_values,modal_value,modal_count,modal_share,zero_share,mean,standard_deviation,minimum,maximum,constant,near_constant_98_percent,dominant_value_80_percent,duplicate_of
WTi,Sensor_26,1361,0.0599052941608587,376,0.2160919540229885,0.0005747126436781609,0.046341765837529705,0.041027147291613636,0.0,0.5806008414424804,False,False,False,
WTi,Sensor_27,839,0.1995223083846951,376,0.2160919540229885,0.0005747126436781609,0.18518262964824445,0.04653242304894511,0.0,0.7893924964058769,False,False,False,
WTi,Sensor_28,818,0.0106592770140142,377,0.21666666666666667,0.0028735632183908046,0.01625303615026906,0.03046352790052536,0.0,0.9915657047192156,False,False,False,
WTi,Sensor_29,1361,0.0025631909211663,376,0.2160919540229885,0.0028735632183908046,0.0032794959956540665,0.01333835104127095,0.0,0.5478045915183389,False,False,False,
WTi,Sensor_30,862,0.0665791421824745,376,0.2160919540229885,0.0005747126436781609,0.05236577703814677,0.0445922497823428,0.0,0.6397411702784959,False,False,False,
WTi,Sensor_31,410,0.7674934279979947,1282,0.7367816091954023,0.0005747126436781609,0.6960399727541179,0.23381639168563284,0.0,0.8729288187917812,False,False,False,
WTi,Sensor_32,1647,0.2744498472481907,88,0.05057471264367816,0.0005747126436781609,0.27706765647673853,0.047025902099941695,0.0,0.5027281336253879,False,False,False,
WTi,Sensor_33,1653,0.1340449015630002,88,0.05057471264367816,0.0005747126436781609,0.18878968171538912,0.1638166146243891,0.0,0.958222170370768,False,False,False,
WTi,Sensor_34,1724,0.0018029250643103,5,0.0028735632183908046,0.0005747126436781609,0.08692930675207912,0.09298707445276627,0.0,0.5267743234275606,False,False,False,
WTi,Sensor_35,1733,1.5718008758698692e-14,5,0.0028735632183908046,0.0005747126436781609,0.004177531996302457,0.023245378328096887,0.0,0.5680228142894352,False,False,False,
WTi,Sensor_36,1721,0.0027441601734229,5,0.0028735632183908046,0.0005747126436781609,0.12167824621837535,0.11492446740600248,0.0,0.5381067737569336,False,False,False,
WTi,Sensor_37,1732,1.2985632627036846e-13,3,0.0017241379310344827,0.0005747126436781609,0.011546491007701266,0.03041000032723864,0.0,0.7324321107084828,False,False,False,
WTi,Sensor_38,1653,0.2982604166013809,88,0.05057471264367816,0.0005747126436781609,0.30756714237876553,0.21498754423594324,0.0,0.744470211927414,False,False,False,
WTi,Sensor_39,1633,0.0001188682931934,108,0.06206896551724138,0.0005747126436781609,0.0007574020294317233,0.02059546910323914,0.0,0.8586841088625381,False,False,False,
WTi,Sensor_40,1653,0.0033790262954911,88,0.05057471264367816,0.0005747126436781609,0.04380352590296546,0.14843910433044055,0.0,0.8863362672454063,False,False,False,
WTi,Sensor_41,1726,0.6409036443813403,5,0.0028735632183908046,0.0005747126436781609,0.3290411798321516,0.235543348191292,0.0,0.7949354004698239,False,False,False,
WTi,Sensor_42,1724,7.485436118682474e-12,10,0.005747126436781609,0.0005747126436781609,0.007420488259541616,0.024160038533861172,0.0,0.8243212933804833,False,False,False,
WTi,Sensor_43,1728,9.916934260858575e-14,5,0.0028735632183908046,0.0005747126436781609,0.0027621685398391874,0.01636438089628755,0.0,0.5848839926260552,False,False,False,
WTi,Sensor_44,1643,0.2804755519318838,88,0.05057471264367816,0.0005747126436781609,0.30002144399927877,0.15881464776684553,0.0,0.8878965713633495,False,False,False,
WTi,Sensor_45,252,0.0,1454,0.835632183908046,0.835632183908046,0.0012422484097094405,0.022987780600072037,0.0,0.6373647076994606,False,False,True,
WTi,Sensor_46,283,0.0,1454,0.835632183908046,0.835632183908046,0.0009080923675318797,0.01972526142046752,0.0,0.5418695250077366,False,False,True,
WTi,Sensor_47,185,0.3877514838915362,1555,0.8936781609195402,0.0005747126436781609,0.3876848070652737,0.02221285628806871,0.0,0.8982712012130623,False,False,True,
WTi,Sensor_48,268,0.0,1450,0.8333333333333334,0.8333333333333334,0.02767129842797596,0.06398624907678939,0.0,0.5621355241071933,False,False,True,
WTi,Sensor_49,1454,0.0065607463035535,134,0.07701149425287357,0.0005747126436781609,0.09787457102930024,0.25356643971952314,0.0,0.8413217642917944,False,False,False,
